基金代码,基金名称,期初日期,期末日期,规模-亿元,成立年数,年化收益率,年化收益率排名,上涨季度比例,上涨季度比例排名,上涨月份比例,上涨月份比例排名,上涨星期比例,上涨星期比例排名,季涨跌幅标准差,季涨跌幅标准差排名,月涨跌幅标准差,月涨跌幅标准差排名,周涨跌幅标准差,周涨跌幅标准差排名,最大回撤率,最大回撤率排名,近3年年化收益率,近3年年化收益率排名,近3年上涨季度比例,近3年上涨季度比例排名,近3年上涨月份比例,近3年上涨月份比例排名,近3年上涨星期比例,近3年上涨星期比例排名,近3年季涨跌幅标准差,近3年季涨跌幅标准差排名,近3年月涨跌幅标准差,近3年月涨跌幅标准差排名,近3年周涨跌幅标准差,近3年周涨跌幅标准差排名,近3年最大回撤率,近3年最大回撤率排名,近1年年化收益率,近1年年化收益率排名,近1年上涨月份比例,近1年上涨月份比例排名,近1年上涨星期比例,近1年上涨星期比例排名,近1年月涨跌幅标准差,近1年月涨跌幅标准差排名,近1年周涨跌幅标准差,近1年周涨跌幅标准差排名,近1年最大回撤率,近1年最大回撤率排名,前1月涨跌幅,前1月涨跌幅排名,月涨跌幅,月涨跌幅排名,夏普比率,夏普比率排名,卡玛比率,卡玛比率排名,基金类型,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,管理费率,托管费率,销售服务费率,最高认购费率,最高认购费率来源,手续费,手续费来源,最近更新日期,最近人事变动日期
000001,华夏成长混合,2001-12-18,2026-02-13,29.37,24.16,8.65,2,54,3,56,2,52,3,12.46,5,6.22,4,2.78,4,59.09,2,4.66,5,58,2,42,4,46,5,10.8,5,5.68,4,2.64,4,34.42,5,36.34,3,50,5,56,5,5.88,5,2.89,5,12.48,4,4.29,5,2.24,5,0.45,2,0.15,2,混合型-灵活,开放申购,开放赎回,,10.0,100000000000.0,1.2,0.2,,1.0,fund_overview.最高认购费率,0.15,fund_purchase.手续费,2026-02-13,2024-12-28
000003,中海可转债债券A,2013-03-20,2026-02-13,0.53,12.9,0.86,5,48,4,48,4,51,5,7.86,1,4.97,1,2.58,2,63.76,4,8.93,3,58,2,53,2,52,2,5.71,2,3.24,1,1.78,2,18.17,1,28.84,4,67,2,60,3,3.54,2,2.04,3,9.92,2,7.43,3,3.91,1,0.06,5,0.01,5,债券型-混合二级,开放申购,开放赎回,,10.0,10000000000.0,0.75,0.2,0.0,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026-02-13,2024-07-20
000004,中海可转债债券C,2013-03-20,2026-02-13,0.93,12.9,1.93,4,48,4,48,4,51,4,8.84,2,5.12,2,2.52,1,63.95,5,8.43,4,58,2,50,3,52,2,5.69,1,3.24,2,1.77,1,18.74,2,28.27,5,67,2,60,3,3.54,1,2.03,2,9.91,1,7.41,4,3.81,2,0.12,4,0.03,4,债券型-混合二级,开放申购,开放赎回,,10.0,10000000000.0,0.75,0.2,0.4,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026-02-13,2024-07-20
000006,西部利得量化成长混合A,2019-03-19,2026-02-13,10.6,6.91,19.36,1,71,1,69,1,59,1,10.27,3,5.84,3,2.75,3,39.1,1,12.35,1,75,1,67,1,58,1,9.47,4,5.32,3,2.61,3,29.21,4,47.76,1,92,1,73,1,3.94,3,1.86,1,12.14,3,11.75,1,2.82,4,0.93,1,0.5,1,混合型-偏股,开放申购,开放赎回,,10.0,100000000000.0,1.2,0.1,0.0,1.2,fund_overview.最高认购费率,0.15,fund_purchase.手续费,2026-02-13,2024-03-29
000008,嘉实中证500ETF联接A,2013-03-22,2026-02-13,15.9,12.9,7.47,3,56,2,51,3,55,2,12.16,4,6.61,5,3.14,5,62.2,3,10.2,2,50,5,39,5,51,4,9.29,3,6.29,5,2.91,5,28.49,3,40.49,2,58,4,62,2,5.38,4,2.46,4,13.1,5,8.84,2,3.11,3,0.37,3,0.12,3,指数型-股票,开放申购,开放赎回,,10.0,100000000000.0,0.15,0.05,0.0,1.0,fund_overview.最高认购费率,0.12,fund_purchase.手续费,2026-02-13,2026-01-14
