基金代码,基金名称,期初日期,期末日期,规模-亿元,成立年数,年化收益率,上涨季度比例,上涨月份比例,上涨星期比例,季涨跌幅标准差,月涨跌幅标准差,周涨跌幅标准差,最大回撤率,近3年年化收益率,近3年上涨季度比例,近3年上涨月份比例,近3年上涨星期比例,近3年季涨跌幅标准差,近3年月涨跌幅标准差,近3年周涨跌幅标准差,近3年最大回撤率,近1年年化收益率,近1年上涨月份比例,近1年上涨星期比例,近1年月涨跌幅标准差,近1年周涨跌幅标准差,近1年最大回撤率,最近一个月涨跌幅,近1年夏普比率,近3年夏普比率,近1年卡玛比率,近3年卡玛比率,全期最长回撤修复天数,近1年最长回撤修复天数,近3年最长回撤修复天数,全期最大单日跌幅,近1年最大单日跌幅,近3年最大单日跌幅,基金类型,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,管理费率,托管费率,销售服务费率,最高认购费率,最高认购费率来源,手续费,手续费来源,最近更新日期,最近人事变动日期
003662,鹏华永盛一年定开债,2016/12/29,2026/2/27,2.44,9.16,6.92,84,69,60,2.03,1.27,0.65,7.4,5.14,92,72,60,1.19,0.97,0.45,4,5.07,100,73,0.33,0.16,0.86,0.6,3.28,1.1,5.9,1.29,242,22,55,-2.26,-0.86,-1.56,债券型-混合一级,暂停申购,暂停赎回,2026/8/6,10,1E+11,0.4,0.1,,0.6,fund_overview.最高认购费率,0.06,fund_purchase.手续费,2026/2/27,2024/6/15
003693,大成景尚灵活配置混合C,2016/11/11,2026/2/27,24.44,14.72,5.92,73,65,56,3.41,1.42,0.73,10.81,4.91,92,72,59,0.88,0.66,0.34,2.32,5.06,83,59,0.52,0.31,1.34,1.13,1.77,1.35,3.78,2.12,628,117,117,-6.15,-0.91,-1.44,混合型-灵活,开放申购,开放赎回,,10,1E+11,0.6,0.15,0.1,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2023/3/23
004228,泰信鑫利混合C,2017/5/25,2026/2/27,2.28,12.67,5.05,82,76,64,2.2,1.02,0.45,10.35,4.1,92,78,67,0.67,0.41,0.22,2.09,5,75,67,0.46,0.28,1.47,1.11,1.9,1.61,3.41,1.97,999,105,105,-4.15,-0.7,-0.7,混合型-偏债,暂停申购,开放赎回,,10,100,0.3,0.1,0,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2024/7/27
004503,鹏华永泰定期开放债券,2017/5/25,2026/2/27,27.62,6.28,5.37,84,69,63,1.74,1.07,0.57,5.5,4.64,92,75,65,0.74,0.48,0.24,1.18,4.91,92,75,0.44,0.21,0.98,0.96,2.41,1.77,4.99,3.93,429,28,51,-2.79,-0.76,-0.76,债券型-混合一级,暂停申购,暂停赎回,2026/10/15,10,1E+11,0.3,0.13,,0.6,fund_overview.最高认购费率,0.06,fund_purchase.手续费,2026/2/27,2021/1/2
004898,长安泓源纯债债券C,2017/7/27,2026/2/27,33.08,13.06,5.78,88,78,65,1.5,0.7,0.3,4.26,4.21,92,81,68,0.71,0.39,0.18,1.12,4.9,92,69,0.37,0.18,0.56,0.28,2.75,2.01,8.69,3.77,181,29,67,-0.95,-0.44,-0.61,债券型-长债,限大额,开放赎回,,10,10000,0.3,0.1,0.15,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2020/5/20
005393,南方卓利3个月定开债,2018/1/19,2026/2/27,3.64,17.91,5.04,76,71,62,2.62,1.5,0.56,14.52,4.13,92,83,64,0.76,0.44,0.25,1.54,4.86,92,69,0.31,0.21,0.71,0.85,2.48,1.4,6.88,2.68,474,55,121,-2.17,-0.53,-0.94,债券型-长债,暂停申购,暂停赎回,2026/5/6,9999999999,0.01,0.3,0.1,,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026/2/27,2024/11/2
005852,中银添利债券发起C,2018/4/12,2026/2/27,8.94,17.97,4.6,76,71,59,2.02,1.06,0.45,6.32,4.37,92,78,68,0.7,0.47,0.23,1.11,4.84,75,73,0.35,0.21,0.72,0.68,2.36,1.68,6.68,3.95,454,30,77,-1.61,-0.72,-0.72,债券型-混合二级,开放申购,开放赎回,,10,1E+11,0.6,0.2,0.15,,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026/2/27,
006208,泰康裕泰债券C,2019/3/14,2026/2/27,15.84,13.96,5.71,77,70,63,2.05,0.91,0.36,7.76,5.16,100,81,67,0.64,0.51,0.27,1.51,4.72,92,71,0.31,0.21,0.83,0.74,2.51,1.84,5.7,3.42,302,52,67,-1.37,-0.71,-0.92,债券型-混合二级,开放申购,开放赎回,,10,1E+11,0.6,0.1,0.1,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2024/1/6
006331,中银国有企业债C,2018/8/20,2026/2/27,30,6.96,3.67,89,73,62,0.84,0.46,0.23,2.64,4,92,78,68,0.71,0.39,0.18,1.12,4.7,83,69,0.37,0.18,0.58,0.26,2.59,1.86,8.16,3.58,139,31,65,-0.62,-0.45,-0.62,债券型-混合一级,限大额,开放赎回,,10,20000,0.3,0.1,0.3,,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2021/5/13
006717,平安惠金定开债C,2018/12/5,2026/2/27,18.16,14.46,4.74,83,75,64,1.69,0.78,0.35,6,4.19,92,83,69,0.67,0.37,0.19,1.2,4.59,83,69,0.35,0.21,1.03,0.5,2.04,1.93,4.46,3.49,330,36,85,-2.13,-0.45,-0.72,债券型-混合一级,暂停申购,暂停赎回,2026/4/21,10,1E+11,0.6,0.08,0.1,,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2020/9/3
